Time,Force,Rotation,Torque
(s),(mN),(deg),(N-mm)
45.995,1299.3318,13.5443,-15.5295
46.045,1292.2864,13.6442,-15.7145
46.095,1300.1161,13.7441,-15.8414
46.145,1293.6388,13.8442,-15.883
46.195,1296.2863,13.9442,-15.8859
46.245,1306.6608,14.0441,-16.085
46.295,1292.9475,14.1442,-16.2854
46.345,1301.0174,14.244,-16.338
46.395,1295.6275,14.3432,-16.4385
46.445,1293.8912,14.4441,-16.4956
46.495,1305.4734,14.544,-16.5593
46.545,1290.6796,14.644,-16.7455
46.595,1301.3839,14.7441,-16.8297
46.645,1300.4431,14.844,-16.9057
46.695,1292.2244,14.944,-17.1523
46.745,1308.3633,15.0444,-17.197
46.795,1297.0018,15.144,-17.3411
46.845,1293.6758,15.244,-17.4838
46.895,1306.5598,15.3441,-17.438
46.945,1289.2077,15.444,-17.5928
46.995,1299.7756,15.5442,-17.8113
47.045,1295.0213,15.6441,-17.8254
47.095,1292.243,15.744,-17.9709
47.145,1306.3511,15.8439,-18.0624
47.195,1290.4278,15.944,-18.1884
47.245,1300.7855,16.0441,-18.2516
47.295,1298.5518,16.1436,-18.4123
47.345,1287.418,16.2438,-18.5306
47.395,1302.8607,16.344,-18.6009
47.445,1288.0255,16.4439,-18.6345
47.495,1294.6452,16.5439,-18.8961
47.545,1297.3903,16.6439,-18.9693
47.595,1288.1253,16.7438,-19.0975
47.645,1303.6125,16.8443,-19.095
47.695,1293.2562,16.944,-19.3455
47.745,1290.4202,17.0438,-19.4284
47.795,1300.6103,17.1438,-19.4531
47.845,1284.6879,17.2436,-19.7194
47.895,1300.2617,17.3442,-19.7407
47.945,1290.3926,17.4436,-19.8801
47.995,1287.7364,17.5437,-20.0631
48.045,1301.1457,17.644,-20.0129
48.095,1284.9858,17.7436,-20.2648
48.145,1292.583,17.8438,-20.3412
48.195,1288.862,17.9435,-20.4375
48.245,1281.7076,18.0435,-20.4841
48.295,1295.5559,18.1438,-20.5987
48.345,1283.0874,18.2434,-20.7026
48.395,1290.105,18.3437,-20.7666
48.445,1288.0384,18.4436,-20.9726
48.495,1283.4307,18.5436,-21.2021
48.545,1295.9698,18.6441,-21.2115
48.595,1283.8926,18.7436,-21.262
48.645,1284.1394,18.8437,-21.3873
48.695,1293.2692,18.9436,-21.5792
48.745,1279.6546,19.0435,-21.6151
48.795,1293.3682,19.1436,-21.7883
48.845,1286.3901,19.2437,-21.8671
48.895,1283.4525,19.3436,-21.8254
48.945,1295.8577,19.4439,-21.9409
48.995,1281.3523,19.5435,-22.1403
49.045,1288.8614,19.6436,-22.35
49.095,1288.6484,19.7432,-22.5762
49.145,1286.3976,19.8435,-22.6163
49.195,1293.7213,19.9434,-22.6565
49.245,1283.1167,20.0438,-22.8579
49.295,1290.52,20.1436,-22.8655
49.345,1288.0442,20.2436,-23.0295
49.395,1280.0807,20.3437,-23.0461
49.445,1291.4001,20.4441,-23.2653
49.495,1281.9275,20.5437,-23.392
49.545,1284.0161,20.6437,-23.5175
49.595,1291.1447,20.7436,-23.5601
49.645,1281.8818,20.8435,-23.7076
49.695,1296.4525,20.9439,-23.7763
49.745,1287.1662,21.0436,-23.9993
49.795,1281.8836,21.1435,-23.9843
49.845,1290.8676,21.2435,-24.0965
49.895,1276.0915,21.3436,-24.3116
49.945,1290.7736,21.4435,-24.3373
49.995,1286.8916,21.5429,-24.4659
50.045,1278.715,21.6435,-24.5099
50.095,1289.5575,21.7434,-24.673
50.145,1279.8061,21.8434,-24.7822
50.195,1284.6454,21.9435,-24.9239
50.245,1285.5847,22.0434,-25.0689
50.295,1274.8739,22.1434,-25.1549
50.345,1294.1027,22.2439,-25.3556
50.395,1276.7946,22.3434,-25.2205
50.445,1275.0412,22.4434,-25.374
