Time,Force,Rotation,Torque
(s),(mN),(deg),(N-mm)
80.237,329.5006,3.5415,-10.1058
80.287,330.9782,3.6423,-10.3092
80.337,337.6693,3.7422,-10.404
80.387,339.3384,3.842,-10.4327
80.437,335.8994,3.9424,-10.5429
80.487,330.3902,4.0423,-10.6443
80.537,332.1936,4.1422,-10.5812
80.587,333.3192,4.2426,-10.733
80.637,331.1794,4.3422,-10.7246
80.687,329.6734,4.4426,-10.7745
80.737,335.1281,4.542,-10.8136
80.787,335.7402,4.6421,-10.8863
80.837,327.5176,4.7422,-10.9631
80.887,331.7979,4.8419,-11.0367
80.937,335.4787,4.942,-11.091
80.987,335.5402,5.042,-11.1525
81.037,336.9225,5.1422,-11.2611
81.087,340.7108,5.2419,-11.2589
81.137,339.2299,5.3417,-11.3292
81.187,337.5623,5.4416,-11.4364
81.237,339.3951,5.5418,-11.4058
81.287,346.8418,5.6422,-11.4346
81.337,347.2753,5.7418,-11.4897
81.387,352.6967,5.8418,-11.5217
81.437,347.5235,5.942,-11.5882
81.487,345.0519,6.0424,-11.6196
81.537,344.5295,6.142,-11.566
81.587,349.5584,6.2419,-11.7673
81.637,351.2317,6.3417,-11.7394
81.687,350.6827,6.442,-11.751
81.737,350.621,6.5422,-11.9343
81.787,355.9257,6.6418,-11.844
81.837,353.2169,6.742,-11.9277
81.887,354.1298,6.8419,-11.9428
81.937,356.5005,6.9422,-11.9864
81.987,359.0288,7.042,-12.0433
82.037,355.3883,7.1413,-12.1448
82.087,355.0896,7.2419,-12.027
82.137,355.2421,7.3419,-12.168
82.187,360.1006,7.4418,-12.106
82.237,360.1535,7.5421,-12.112
82.287,364.0724,7.6419,-12.2479
82.337,360.4439,7.7419,-12.2493
82.387,361.0296,7.8423,-12.2661
82.437,357.1685,7.9419,-12.3338
82.487,357.0092,8.0417,-12.3191
82.537,363.9254,8.1421,-12.3681
82.587,365.4146,8.2418,-12.4565
82.637,364.9906,8.3422,-12.4389
82.687,363.7666,8.4419,-12.3757
82.737,362.929,8.5418,-12.5108
82.787,367.8611,8.6419,-12.5904
82.837,363.5166,8.7419,-12.6885
82.887,372.1368,8.8418,-12.6559
82.937,375.6194,8.9415,-12.752
82.987,372.1966,9.0414,-12.6804
83.037,364.614,9.1418,-12.7589
83.087,368.3548,9.2416,-12.663
83.137,367.2691,9.3419,-12.8217
83.187,371.4394,9.4418,-12.8699
83.237,374.0636,9.5417,-12.8622
83.287,372.0435,9.6422,-12.9351
83.337,374.3339,9.7417,-12.9048
83.387,369.1391,9.8417,-13.0519
83.437,372.2018,9.942,-13.0525
83.487,375.1532,10.0417,-13.1064
83.537,375.4939,10.1417,-13.1522
83.587,377.729,10.2417,-13.097
